train_start,train_end,test_start,test_end,model,mse,oos_r2,pred_mean,actual_mean
2008-01-31,2014-12-31,2015-01-31,2015-12-31,Lasso,0.00047800683102199,0.7142280729685462,-0.013036836260235786,0.0012614904393499907
2009-01-31,2015-12-31,2016-01-31,2016-12-31,OLS,0.0005947486363440923,0.7903210797285645,0.025108759886846983,0.026441119692899348
2009-01-31,2015-12-31,2016-01-31,2016-12-31,Ridge,0.0005999788105712027,0.7884771792675006,0.024708629371748805,0.026441119692899348
2009-01-31,2015-12-31,2016-01-31,2016-12-31,Lasso,0.0005939137104866117,0.790615433244664,0.02515961897722148,0.026441119692899348
2010-01-31,2016-12-31,2017-01-31,2017-12-31,OLS,0.0002724202736715697,0.7880475493136193,0.010279297760146269,0.016448510134548937
2010-01-31,2016-12-31,2017-01-31,2017-12-31,Ridge,0.0002725186370615717,0.7879710191740386,0.010159643588812451,0.016448510134548937
2010-01-31,2016-12-31,2017-01-31,2017-12-31,Lasso,0.0002684455607620208,0.7911400142414291,0.00833010496053895,0.016448510134548937
2011-01-31,2017-12-31,2018-01-31,2018-12-31,OLS,0.0009156829243788612,0.7688693358785196,0.01167505696788034,0.020281059227595922
2011-01-31,2017-12-31,2018-01-31,2018-12-31,Ridge,0.0009157779232719089,0.768845356882454,0.011641181577875742,0.020281059227595922
2011-01-31,2017-12-31,2018-01-31,2018-12-31,Lasso,0.0008363212081034196,0.7889012985811177,0.012309468147987779,0.020281059227595922
2012-01-31,2018-12-31,2019-01-31,2019-12-31,OLS,0.0004962997969077825,0.7832749546087288,-0.016878929045182806,-0.010103221781398154
2012-01-31,2018-12-31,2019-01-31,2019-12-31,Ridge,0.0005083621698360922,0.7780075369375905,-0.01611534187687078,-0.010103221781398154
2012-01-31,2018-12-31,2019-01-31,2019-12-31,Lasso,0.00044989926322461666,0.8035372191337571,-0.014369199751883813,-0.010103221781398154
2013-01-31,2019-12-31,2020-01-31,2020-12-31,OLS,0.0006206148826469964,0.8290112226465526,-0.006733361814142222,-0.009158404620914648
2013-01-31,2019-12-31,2020-01-31,2020-12-31,Ridge,0.0006228750594626063,0.8283885097836972,-0.00653383543875797,-0.009158404620914648
2013-01-31,2019-12-31,2020-01-31,2020-12-31,Lasso,0.0005401600081796363,0.8511777561957067,-0.005099440104999078,-0.009158404620914648
2014-01-31,2020-12-31,2021-01-31,2021-12-31,OLS,0.0004713429557399973,0.7903220816479548,0.009335960320041333,0.009134178578765152
2014-01-31,2020-12-31,2021-01-31,2021-12-31,Ridge,0.00047300994231416917,0.7895805191178764,0.009364131830227766,0.009134178578765152
2014-01-31,2020-12-31,2021-01-31,2021-12-31,Lasso,0.000517201484787818,0.7699218172707398,0.010671606845141268,0.009134178578765152
2015-01-31,2021-12-31,2022-01-31,2022-12-31,OLS,0.0006211263642998322,0.7407069626377525,0.03173605894938749,0.026614396745582622
2015-01-31,2021-12-31,2022-01-31,2022-12-31,Ridge,0.000612656471557833,0.7442427716798965,0.03144962873580853,0.026614396745582622
2015-01-31,2021-12-31,2022-01-31,2022-12-31,Lasso,0.0005580653581268587,0.767032169181097,0.02919032058076615,0.026614396745582622
2016-01-31,2022-12-31,2023-01-31,2023-12-31,OLS,0.0003414144945213104,0.6550693255202623,0.03061660618155417,0.023562797110483303
2016-01-31,2022-12-31,2023-01-31,2023-12-31,Ridge,0.000332506345347496,0.6640692184720776,0.030337392849047615,0.023562797110483303
2016-01-31,2022-12-31,2023-01-31,2023-12-31,Lasso,0.0002515764211617691,0.7458326285877381,0.029864699065645536,0.023562797110483303
2017-01-31,2023-12-31,2024-01-31,2024-12-31,OLS,0.00046714682887582447,0.7113337702544813,0.05052147235522144,0.034937609572761756
2017-01-31,2023-12-31,2024-01-31,2024-12-31,Ridge,0.00045262411016024507,0.7203078619064988,0.049980073393055456,0.034937609572761756
2017-01-31,2023-12-31,2024-01-31,2024-12-31,Lasso,0.00044173058940576724,0.7270393462503335,0.049619095206509055,0.034937609572761756
